Date,Oil,Coal,Gas,Elec,GSCI,VIX,STOXX,AAA,BAA,Diff_BAA_AAA,ECB_Spot_3M,eua07,eua07_vol,eua08,eua08_vol,eua09,eua09_vol,eua10,eua10_vol,eua11,eua11_vol,eua12,eua12_vol,eua13,eua13_vol,eua14,eua14_vol,eua15,eua15_vol,eua16,eua16_vol,eua17,eua17_vol,eua18,eua18_vol,eua19,eua19_vol,eua20,eua20_vol,eua21,eua21_vol,eua22,eua22_vol
20070614,70.96,76,9.825,37.4,,13.64,,,,,3.890676,0.19,253,23.65,2802,23.95,231,24.4,125,24.85,68,25.3,50,,,,,,,,,,,,,,,,,,,,
20070615,71.47,76,10.09,37.4,495.599,13.94,399.27,5.87,6.76,0.89,3.893296,0.17,118,22.78,3227,23.13,40,23.53,70,23.95,68,24.4,50,,,,,,,,,,,,,,,,,,,,
20070618,72.18,76,10.215,37.71,498.025,13.42,397.87,5.86,6.75,0.89,3.893671,0.14,192,21.9,2989,22.1,75,22.48,75,22.85,68,23.23,50,,,,,,,,,,,,,,,,,,,,
20070619,71.84,76,10.08,37.59,493.359,12.85,396.42,5.81,6.69,0.88,3.899912,0.14,3984,21.19,4259,21.4,121,21.8,75,22.25,100,22.7,50,,,,,,,,,,,,,,,,,,,,
20070620,70.42,76,10.05,38.25,490.62,14.67,397.85,5.85,6.71,0.86,3.891001,0.13,442,21.84,2973,22.07,164,22.52,90,22.97,100,23.42,50,,,,,,,,,,,,,,,,,,,,
20070621,70.22,76.75,10.096,37.97,489.18,14.21,393.7,5.89,6.76,0.87,3.90027,0.12,164,21.62,4524,21.91,240,22.36,40,22.81,100,23.26,50,,,,,,,,,,,,,,,,,,,,
20070622,71.18,77,10.15,37.3,488.813,15.75,392.43,5.86,6.74,0.88,3.90191,0.12,200,21.89,3566,22.13,465,22.57,50,23,100,23.43,50,,,,,,,,,,,,,,,,,,,,
20070625,71.36,81.86,10.112,37,487.924,16.65,391.94,5.8,6.68,0.88,3.906,0.11,200,21.18,3298,21.48,55,21.88,50,22.31,100,22.73,50,,,,,,,,,,,,,,,,,,,,
20070626,70.17,80.15,10.267,36.85,481.15,18.89,389.52,5.83,6.71,0.88,3.914534,0.13,480,21.07,3885,21.37,45,21.84,20,22.17,100,22.57,50,,,,,,,,,,,,,,,,,,,,
20070627,70.53,80.05,10.252,36.5,485.278,15.53,387.69,5.8,6.68,0.88,3.91079,0.13,350,21.43,2973,21.73,376,22.11,100,22.48,100,22.86,50,,,,,,,,,,,,,,,,,,,,
20070628,70.52,79.6,10.384,36.02,485.515,15.54,391.6,5.82,6.72,0.9,3.913309,0.14,321,22.36,4141,22.67,750,22.99,235,23.31,100,23.61,75,,,,,,,,,,,,,,,,,,,,
20070629,71.41,79.05,10.838,38.8,489.152,16.23,393.71,5.73,6.62,0.89,3.917951,0.13,410,22.29,3721,22.61,361,23.01,75,23.41,100,23.81,75,,,,,,,,,,,,,,,,,,,,
20070702,72.63,79.05,12.338,37.6,492.027,15.4,392.23,5.71,6.6,0.89,3.903112,0.14,154,21.7,2697,22.02,150,22.4,55,22.82,100,23.22,75,,,,,,,,,,,,,,,,,,,,
20070703,72.93,76.7,11.938,36.6,493.051,14.92,395.71,5.75,6.65,0.9,3.908735,0.13,120,21.16,3978,21.49,1520,21.89,2,22.29,27,22.71,4,,,,,,,,,,,,,,,,,,,,
20070704,73.05,76.6,11.863,35,493.051,14.92,397.5,5.75,6.65,0.9,3.90709,0.13,210,21.05,2732,21.38,605,21.76,205,22.25,45,22.7,65,,,,,,,,,,,,,,,,,,,,
20070705,74.75,75.1,12.309,34,496.971,15.48,394.93,5.84,6.74,0.9,3.917727,0.14,70,21.48,3334,21.8,216,22.13,170,22.55,57,22.98,156,,,,,,,,,,,,,,,,,,,,
20070706,75.62,75.6,14.715,34.25,500.657,14.72,397.27,5.89,6.78,0.89,3.922591,0.15,120,21.8,1583,22.15,305,22.53,87,23,165,23.43,195,,,,,,,,,,,,,,,,,,,,
20070709,75.78,75.95,15.55,34.28,499.912,15.16,398.52,5.85,6.74,0.89,3.924529,0.14,24,21.12,2973,21.45,454,21.74,153,22.16,118,22.58,120,,,,,,,,,,,,,,,,,,,,
20070710,76.4,76.6,14.388,33.4,504.661,17.57,394.02,5.74,6.63,0.89,3.918913,0.14,37,21,3380,21.33,315,21.7,110,22.07,1,22.44,41,,,,,,,,,,,,,,,,,,,,
20070711,75.44,76.8,15.1,32.66,503.764,16.64,392.72,5.8,6.68,0.88,3.918291,0.14,310,20.67,7573,21,2132,21.4,230,21.75,160,22.04,800,,,,,,,,,,,,,,,,,,,,
