PRODUCT (Click to open in Browser),PRODUCT ID,PHYSICAL,LOGICAL,GMI FC,R&N A.C.N,GROUP,CLEARING ADMIN,CLEARING VENUE,MIC CODE,MARKET TYPE NAME,SYMBOL CODE
100 oz Gold Future,5616,ZG,YG,ZG,,Precious Metals,100 oz Gold,ICUS,IFUS,Metals,ZG
5000 oz Silver Future,5617,ZI,YI,ZI,,Precious Metals,5k oz Silver,ICUS,IFUS,Metals,ZI
AB NIT Basis Future,451,AEC,AEC,NB,NA83,Natural Gas,Canada Basis,ICEU,IFED,Financial Gas,AEC
API2 Rotterdam Coal Futures,517,ATW,ATW,PK,NN89,Coal,ICE Coal ARA,ICEU,IFEU,ICE Rotterdam Coal Futures,ATW
API4 Richards Bay Coal Futures,519,AFR,AFR,PL,NN90,Coal,ICE Coal Rbay,ICEU,IFEU,ICE Richards Bay Coal Futures,AFR
Argus Eurobob Oxy FOB Rotterdam Barges Future,2083,AEO,AEO,2Y,T035,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,AEO
Brent 1st Line Future,10,I,BRN,BS,P997,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,Oil,BSP
Brent Crude Futures,254,B,BRN,BC,952,Crude Oil and Refined Products,IPE e-Brent,ICEU,IFEU,IPE Brent Futures,BRN
"Butane, Argus Saudi CP Future",5250,ABS,ABS,S2,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,ABS
California Carbon Allowance Vintage 2019 Future,18393,CAX,CAX,6Z,,Physical Environmental,CCA,ICEU,IFED,Physical Environmental,CAX
California Carbon Allowance Vintage 2020 Future,18395,CAY,CAY,61,,Physical Environmental,CCA,ICEU,IFED,Physical Environmental,CAY
California Carbon Allowance Vintage 2021 Future,20393,CAZ,CAZ,K9,,Physical Environmental,CCA,ICEU,IFED,Physical Environmental,CAZ
Canola Futures,1092,RS,RS ,RS,,Canola,Canola US,ICUS,IFUS,Canadian Oilseeds,RS
Cocoa Futures,578,CC,CC ,CY,2050,Cocoa,Cocoa,ICUS,IFUS,Cocoa,CC
