Date,EUA_Last,EUA_Settle,Oil_Last,Oil_Settle,Coal_Last,Coal_Settle,Gas_Last,Gas_Settle,Elec_Last,Elec_Settle,GSCI_Last,VIX_Last,STOXX_Last,AAA_Last,BAA_Last,Diff_BAA_AAA,CER_Last,CER_Settle,ecb_spot_3m
20040504,,,35.93,35.93,,,,,26.81,26.81,300.8492,16.55,241.34,5.92,6.63,0.71,,,
20040505,,,36.72,36.72,,,,,26.69,26.69,303.2353,15.77,242.39,5.91,6.66,0.75,,,
20040506,,,36.53,36.53,,,,,26.85,26.85,301.5562,17.05,239.2,5.98,6.69,0.71,,,
20040507,,,37,37,,,,,26.32,26.32,303.8576,18.13,239.35,6.06,6.76,0.7,,,
20040510,,,35.97,35.97,,,,,27.44,27.44,296.2771,19.77,232.99,6.12,6.79,0.67,,,
20040511,,,37.36,37.36,,,,,28.45,28.45,301.9376,18.57,235.53,6.08,6.78,0.7,,,
20040512,,,37.95,37.95,,,,,28.5,28.5,304.7947,18.14,233.13,6.13,6.83,0.7,,,
20040513,,,38.49,38.49,,,,,28.03,28.03,306.0698,18.86,235.53,6.18,6.87,0.69,,,
20040514,,,38.76,38.76,,,,,27.92,27.92,305.6112,18.47,234.04,6.12,6.82,0.7,,,
20040517,,,37.91,37.91,,,,,27.12,27.12,305.6051,19.96,230.6,6.06,6.78,0.72,,,
20040518,,,36.95,36.95,,,,,26.49,26.49,300.102,19.33,232.29,6.08,6.79,0.71,,,
20040519,,,37.9,37.9,,,,,26.54,26.54,308.4373,18.93,236.15,6.12,6.82,0.7,,,
20040520,,,37.26,37.26,,,,,26.54,26.54,303.7794,18.67,234.67,6.05,6.77,0.72,,,
20040521,,,36.51,36.51,,,,,26.65,26.65,300.1887,18.49,234.49,6.08,6.79,0.71,,,
20040524,,,38.17,38.17,,,,,26.26,26.26,310.8826,18.08,235.73,6.06,6.77,0.71,,,
20040525,,,37.44,37.44,,,,,26.18,26.18,307.8806,15.96,234.42,6.03,6.75,0.72,,,
20040526,,,37.08,37.08,,,,,26.42,26.42,306.3285,15.97,236.51,6,6.72,0.72,,,
20040527,,,36.25,36.25,,,,,26.6,26.6,300.0778,15.28,237.72,5.93,6.65,0.72,,,
20040528,,,36.58,36.58,,,,,26.51,26.51,301.4126,15.5,236.93,5.97,6.69,0.72,,,
20040531,,,36.58,36.58,,,,,29.66,29.66,301.4126,15.5,237.35,5.97,6.69,0.72,,,
20040601,,,39.08,39.08,,,,,29.31,29.31,315.6003,16.3,235.75,6.02,6.76,0.74,,,
20040602,,,36.86,36.86,,,,,28.28,28.28,303.9732,16.08,236.61,6.04,6.8,0.76,,,
20040603,,,36.4,36.4,,,,,27.75,27.75,298.6588,17.03,237.46,6.03,6.79,0.76,,,
20040604,,,35.67,35.67,,,,,28.2,28.2,294.5786,16.78,239.17,6.07,6.84,0.77,,,
20040607,,,35.96,35.96,,,,,28.84,28.84,295.2394,15.39,240.8,6.07,6.83,0.76,,,
20040608,,,35.05,35.05,,,,,28.54,28.54,288.9688,15.01,241.46,6.06,6.82,0.76,,,
20040609,,,35.29,35.29,,,,,28.83,28.83,289.4991,15.39,241.58,6.1,6.85,0.75,,,
20040610,,,35.74,35.74,,,,,28.9,28.9,292.2033,15.04,241.94,6.08,6.84,0.76,,,
20040611,,,35.44,35.44,,,,,28.03,28.03,292.2033,15.04,241.65,6.08,6.84,0.76,,,
20040614,,,35.49,35.49,,,,,27.5,27.5,289.3312,16.07,238.2,6.14,6.9,0.76,,,
20040615,,,35.29,35.29,,,,,27,27,287.0998,15.05,239.96,5.97,6.75,0.78,,,
20040616,,,35.2,35.2,,,,,27.34,27.34,289.2809,14.79,242.35,6.02,6.78,0.76,,,
20040617,,,36.21,36.21,,,,,27.84,27.84,295.8877,15.15,242.73,5.96,6.74,0.78,,,
20040618,,,36.21,36.21,,,,,28.25,28.25,296.0853,14.99,243,5.98,6.75,0.77,,,
20040621,,,35.13,35.13,,,,,28.73,28.73,290.54,15.26,242.71,5.98,6.75,0.77,,,
20040622,,,35.61,35.61,,,,,28.04,28.04,292.1041,14.31,240.19,5.99,6.77,0.78,,,
