Date_category,BG_main1,BG_alt1,CZ_main1,CZ_new1,FI_main1,FI_rev1,FI_follow1,FI_new1,FI_parl1,DE_main1,DE_leak1,DE_canc2,DE_parl1,DE_new1,DE_nuc1,EL_main1,EL_new1,HU_alt1,IT_main1,NL_main1,NL_alt1,NL_follow1,PL_main1,PT_main1,PT_new1,RO_main1,RO_leak1,RO_follow1,SK_main1,SI_main1,SI_alt2,SI_alt1,UK_main1,UK_leak1,XX_main1,XX_main2,XX_main3
Use for Stata,20211011,20211014,20201204,20220107,20170831,20180410,20181018,20180105,20190227,20190126,20180914,20191209,20200703,20211015,20110314,20190923,20210426,20181120,20171024,20171010,20160923,20180518,20200925,20171116,20191026,20210603,20210526,20210930,20190618,20210315,20220113,20211102,20151118,20151006,20200116,,
Use in analysis,,,1,1,1,,1,,,1,,,,1,,1,1,1,1,1,,1,,1,1,1,,1,1,,,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
all,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,0
core,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,0
core + conf,1,,,,1,,,,,,,,,,,1,,1,1,1,,,,1,,1,,,,,,,1,,,,0
new,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0
new + conf,,,,1,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,
alt,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
alt + conf,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
leak,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,1,,,,,
leak + conf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
follow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
follow + conf,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
parliament + conf,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
parliament,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rev,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rev + conf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canc,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
canc + conf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core + new,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
core + new + follow + parl,,,1,1,,,,,1,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
core + new + conf (BG instead of De_new),1,,1,1,1,,,,,1,,,,,,1,1,1,1,1,,,,1,1,1,,,1,,,,1,,,,
core + new + conf (DE_new instead of BG),,,1,1,1,,,,,1,,,,1,,1,1,1,1,1,,,,1,1,1,,,1,,,,1,,,,
core + new + follow + parl + conf (BG instead of De_new),1,,1,1,1,,1,,,1,,,,,,1,1,1,1,1,,1,,1,1,1,,1,1,,,,1,,,,
core + new + follow + parl + conf (DE_new instead of BG),,,1,1,1,,1,,,1,,,,1,,1,1,1,1,1,,1,,1,1,1,,1,1,,,,1,,,,
follow + parl,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
follow + parl + conf,,,,,,,1,,1,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,
no group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't combine:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG_main1 and BG_alt1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG* and DE_new1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ_new1 and SI_alt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
